Years,Dates Redone,Month Number,Date,CHOLOLO,EAST_RESERVE,WEST_RESERVE,DOLDOL,Biomass.new
1984,May,5,1984-05-01,32.92947916666666,-,,-,32.92947916666666
1984,Jun,6,1984-06-01,,-,,-,27.86
1984,Jul,7,1984-07-01,13.44234375,-,,-,13.44234375
1984,Aug,8,1984-08-01,,-,,-,37.314
1984,Sep,9,1984-09-01,,-,,-,38.455
1984,Oct,10,1984-10-01,14.2359375,-,10.532499999999999,-,12.384218749999999
1984,Nov,11,1984-11-01,22.96546875,-,,-,22.96546875
1984,Dec,12,1984-12-01,38.74916666666667,-,,-,38.74916666666667
1985,Jan,1,1985-01-01,29.57875,-,31.342291666666664,-,30.460520833333334
1985,Feb,2,1985-02-01,,-,,-,41.063
1985,Mar,3,1985-03-01,17.14578125,-,21.466458333333332,-,19.306119791666667
1985,Apr,4,1985-04-01,,-,,-,57.428200000000004
1985,May,5,1985-05-01,74.54906249999999,-,87.51109375,-,81.03007812499999
1985,Jun,6,1985-06-01,,-,,-,59.6287
1985,Jul,7,1985-07-01,,-,,-,56.6132
1985,Aug,8,1985-08-01,,-,,-,43.3124
1985,Sep,9,1985-09-01,44.127968749999994,-,47.566875,-,45.847421874999995
1985,Oct,10,1985-10-01,,-,,-,40.8185
1985,Nov,11,1985-11-01,,-,,-,36.1241
1985,Dec,12,1985-12-01,22.7009375,-,26.933437499999997,-,24.817187499999996
1986,Jan,1,1986-01-01,20.84921875,-,21.11375,-,20.981484375
1986,Feb,2,1986-02-01,,-,,-,33.0923
1986,Mar,3,1986-03-01,15.294062499999999,-,12.296041666666667,-,13.795052083333333
1986,Apr,4,1986-04-01,15.2940625,-,18.821145833333333,-,17.057604166666668
1986,May,5,1986-05-01,,-,,-,70.1259
1986,Jun,6,1986-06-01,45.71515625,-,108.23270833333333,-,76.97393229166667
1986,Jul,7,1986-07-01,82.22046875,-,90.94999999999999,-,86.585234375
1986,Aug,8,1986-08-01,,-,,-,72.09819999999999
1986,Sep,9,1986-09-01,57.883593749999996,-,64.84958333333333,-,61.36658854166666
1986,Oct,10,1986-10-01,36.19203125,-,57.97177083333333,-,47.08190104166667
1986,Nov,11,1986-11-01,,-,,-,39.596000000000004
1986,Dec,12,1986-12-01,64.23234375,-,74.02,-,69.126171875
1987,Jan,1,1987-01-01,,-,,-,59.51
1987,Feb,2,1987-02-01,54.70921874999999,-,54.797395833333326,-,54.75330729166666
1987,Mar,3,1987-03-01,48.0959375,-,53.033854166666664,-,50.56489583333333
1987,Apr,4,1987-04-01,,-,,-,36.205600000000004
1987,May,5,1987-05-01,31.959531249999998,-,43.334375,-,37.646953124999996
1987,Jun,6,1987-06-01,141.74,-,77.89979166666666,-,109.81989583333333
1987,Jul,7,1987-07-01,,-,,-,64.6002
1987,Aug,8,1987-08-01,104.97015625,-,39.6309375,-,72.30054687500001
1987,Sep,9,1987-09-01,97.03421875000001,-,25.8753125,-,61.45476562500001
1987,Oct,10,1987-10-01,,-,,-,29.701900000000002
1987,Nov,11,1987-11-01,55.23828125,-,19.5265625,-,37.382421875
1987,Dec,12,1987-12-01,,-,,-,27.3221
1988,Jan,1,1988-01-01,33.017656249999995,-,11.237916666666669,-,22.127786458333333
1988,Feb,2,1988-02-01,,-,,-,27.3221
1988,Mar,3,1988-03-01,,-,,-,32.424
1988,Apr,4,1988-04-01,,-,,-,70.9898
1988,May,5,1988-05-01,,-,,-,75.1463
1988,Jun,6,1988-06-01,80.63328125,62.9096875,60.264375,-,67.93578125
1988,Jul,7,1988-07-01,95.97609374999999,33.81125,47.39052083333333,-,59.05928819444444
1988,Aug,8,1988-08-01,,,,-,57.9009
1988,Sep,9,1988-09-01,227.9771875,,79.8396875,-,153.9084375
1988,Oct,10,1988-10-01,,,,-,70.4356
1988,Nov,11,1988-11-01,204.96296875000002,34.869375,61.3225,-,100.38494791666666
1988,Dec,12,1988-12-01,85.659375,33.2821875,47.0378125,-,55.326458333333335
1989,Jan,1,1989-01-31,,,,-,53.3206
1989,Feb,2,1989-02-01,138.30109375,49.683125,42.099895833333335,-,76.6947048611111
1989,Mar,3,1989-03-01,99.67953125,27.9915625,41.57083333333333,-,56.413975694444446
1989,Apr,4,1989-04-01,,,,-,52.7827
1989,May,5,1989-05-01,174.541875,86.7175,84.95395833333332,-,115.40444444444444
1989,Jun,6,1989-06-01,127.4553125,73.4909375,56.38458333333333,-,85.77694444444445
1989,Jul,7,1989-07-01,114.7578125,85.1303125,51.667109374999995,-,83.85174479166666
1989,Aug,8,1989-08-01,,,,-,78.84
1989,Sep,9,1989-09-01,81.9559375,48.0959375,29.402395833333333,-,53.15142361111111
1989,Oct,10,1989-10-01,61.587031249999995,27.9915625,23.053645833333334,-,37.54407986111111
1989,Nov,11,1989-11-01,82.48499999999999,33.2821875,50.2121875,-,55.32645833333333
1989,Dec,12,1989-12-01,,,,-,65.8064
1990,Jan,1,1990-01-01,56.82546875,61.8515625,53.3865625,-,57.35453125
1990,Feb,2,1990-02-01,44.480677083333326,46.0855,36.19203125,-,42.25273611111111
1990,Mar,3,1990-03-01,34.208046874999994,,28.388359375,-,31.298203124999997
1990,Apr,4,1990-04-01,54.70921875,63.174218749999994,43.334374999999994,-,53.73927083333333
